prompt,variant_1,variant_2
Tạo test case cho Ứng dụng - Chức năng,"Soạn kịch bản kiểm thử cho Ứng dụng - Chức năng: phân quyền cơ bản, luồng chức năng chính, kịch bản chính.","Những ca kiểm thử nào đảm bảo Ứng dụng - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ phân quyền cơ bản, luồng chức năng chính?"
Tạo test case cho Giao diện - UI,"Viết kịch bản kiểm thử cho Giao diện - UI: điều hướng bằng bàn phím, trạng thái rỗng và lỗi, điểm nhấn tương tác.","Những ca kiểm thử nào đảm bảo Giao diện - UI hoạt động ổn định và đúng kỳ vọng, bao phủ điều hướng bằng bàn phím, trạng thái rỗng và lỗi?"
Tạo test case cho Lọc - Chức năng,"Lập kịch bản kiểm thử cho Lọc - Chức năng: khả năng đặt lại bộ lọc, đồng bộ URL, kịch bản chính.","Những ca kiểm thử nào đảm bảo Lọc - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ khả năng đặt lại bộ lọc, đồng bộ URL?"
Tạo test case cho Tìm kiếm - Chức năng,"Viết kịch bản kiểm thử cho Tìm kiếm - Chức năng: hiệu năng truy vấn, khả năng xử lý ký tự đặc biệt, tính đúng đắn dữ liệu.","Những ca kiểm thử nào đảm bảo Tìm kiếm - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ hiệu năng truy vấn, khả năng xử lý ký tự đặc biệt?"
Tạo test case cho Giao diện - Cửa sổ,"Đề xuất kịch bản kiểm thử cho Giao diện - Cửa sổ: tính nhất quán UI, thiết bị di động.","Những ca kiểm thử nào đảm bảo Giao diện - Cửa sổ hoạt động ổn định và đúng kỳ vọng, bao phủ tính nhất quán UI, thiết bị di động?"
Tạo test case cho Cơ sở dữ liệu - Toàn vẹn dữ liệu,"Thiết kế kịch bản kiểm thử cho Cơ sở dữ liệu - Toàn vẹn dữ liệu: khóa cạnh tranh, tính nhất quán.","Những ca kiểm thử nào đảm bảo Cơ sở dữ liệu - Toàn vẹn dữ liệu hoạt động ổn định và đúng kỳ vọng, bao phủ khóa cạnh tranh, tính nhất quán?"
Tạo test case cho Tải lên hình ảnh - Chức năng,"Lập kịch bản kiểm thử cho Tải lên hình ảnh - Chức năng: quyền truy cập, nén và tối ưu, kịch bản chính.","Những ca kiểm thử nào đảm bảo Tải lên hình ảnh - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ quyền truy cập, nén và tối ưu?"
Tạo test case cho Email - Chức năng,"Lập kịch bản kiểm thử cho Email - Chức năng: đính kèm, định dạng nội dung, tính đúng đắn dữ liệu.","Những ca kiểm thử nào đảm bảo Email - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ đính kèm, định dạng nội dung?"
Tạo test case cho Xuất Excel - Chức năng,"Thiết kế kịch bản kiểm thử cho Xuất Excel - Chức năng: khớp bộ lọc và quyền, giới hạn dòng, kịch bản chính.","Những ca kiểm thử nào đảm bảo Xuất Excel - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ khớp bộ lọc và quyền, giới hạn dòng?"
Tạo test case cho Hiệu năng - Tối ưu,"Soạn kịch bản kiểm thử cho Hiệu năng - Tối ưu: xử lý tải đồng thời, thời gian phản hồi, độ ổn định dưới áp lực.","Những ca kiểm thử nào đảm bảo Hiệu năng - Tối ưu hoạt động ổn định và đúng kỳ vọng, bao phủ xử lý tải đồng thời, thời gian phản hồi?"
Tạo test case cho Bảo mật - An toàn,"Đề xuất kịch bản kiểm thử cho Bảo mật - An toàn: mã hóa dữ liệu, kiểm soát truy cập, xác thực và ủy quyền.","Những ca kiểm thử nào đảm bảo Bảo mật - An toàn hoạt động ổn định và đúng kỳ vọng, bao phủ mã hóa dữ liệu, kiểm soát truy cập?"
Tạo test case cho Đăng nhập - Chức năng,"Soạn kịch bản kiểm thử cho Đăng nhập - Chức năng: 2FA và khôi phục mật khẩu an toàn, quản lý phiên và thời hạn cookie, kịch bản chính.","Những ca kiểm thử nào đảm bảo Đăng nhập - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ 2FA và khôi phục mật khẩu an toàn, quản lý phiên và thời hạn cookie?"
Tạo test case cho Đăng nhập - Hiệu năng,"Đề xuất kịch bản kiểm thử cho Đăng nhập - Hiệu năng: ẩn thông báo lỗi nhạy cảm, giới hạn thử sai và khóa tài khoản, tải đồng thời.","Những ca kiểm thử nào đảm bảo Đăng nhập - Hiệu năng hoạt động ổn định và đúng kỳ vọng, bao phủ ẩn thông báo lỗi nhạy cảm, giới hạn thử sai và khóa tài khoản?"
Tạo test case cho Đăng nhập - Bảo mật,"Thiết kế kịch bản kiểm thử cho Đăng nhập - Bảo mật: quản lý phiên và thời hạn cookie, ẩn thông báo lỗi nhạy cảm, ghi log và audit.","Những ca kiểm thử nào đảm bảo Đăng nhập - Bảo mật hoạt động ổn định và đúng kỳ vọng, bao phủ quản lý phiên và thời hạn cookie, ẩn thông báo lỗi nhạy cảm?"
Tạo test case cho Đăng nhập - Email,"Thiết kế kịch bản kiểm thử cho Đăng nhập - Email: ẩn thông báo lỗi nhạy cảm, giới hạn thử sai và khóa tài khoản, khả năng theo dõi gửi.","Những ca kiểm thử nào đảm bảo Đăng nhập - Email hoạt động ổn định và đúng kỳ vọng, bao phủ ẩn thông báo lỗi nhạy cảm, giới hạn thử sai và khóa tài khoản?"
Tạo test case cho Đăng nhập - Phản hồi/Mobile,"Soạn kịch bản kiểm thử cho Đăng nhập - Phản hồi và Mobile: ẩn thông báo lỗi nhạy cảm, giới hạn thử sai và khóa tài khoản.","Những ca kiểm thử nào đảm bảo Đăng nhập - Phản hồi và Mobile hoạt động ổn định và đúng kỳ vọng, bao phủ ẩn thông báo lỗi nhạy cảm, giới hạn thử sai và khóa tài khoản?"
Tạo test case cho Đăng ký - Chức năng,"Thiết kế kịch bản kiểm thử cho Đăng ký - Chức năng: chống tạo tài khoản trùng lặp, email/OTP xác minh tài khoản, trạng thái lỗi.","Những ca kiểm thử nào đảm bảo Đăng ký - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ chống tạo tài khoản trùng lặp, email/OTP xác minh tài khoản?"
Tạo test case cho Đăng ký - Bảo mật,"Viết kịch bản kiểm thử cho Đăng ký - Bảo mật: tốc độ phản hồi và chống spam, chống tạo tài khoản trùng lặp, xác thực và ủy quyền.","Những ca kiểm thử nào đảm bảo Đăng ký - Bảo mật hoạt động ổn định và đúng kỳ vọng, bao phủ tốc độ phản hồi và chống spam, chống tạo tài khoản trùng lặp?"
Tạo test case cho Đăng ký - Hiệu năng,"Thiết kế kịch bản kiểm thử cho Đăng ký - Hiệu năng: xác thực dữ liệu đầu vào, tốc độ phản hồi và chống spam, độ ổn định dưới áp lực.","Những ca kiểm thử nào đảm bảo Đăng ký - Hiệu năng hoạt động ổn định và đúng kỳ vọng, bao phủ xác thực dữ liệu đầu vào, tốc độ phản hồi và chống spam?"
Tạo test case cho Đăng ký - Đa trình duyệt,"Soạn kịch bản kiểm thử cho Đăng ký - Đa trình duyệt: chống tạo tài khoản trùng lặp, email/OTP xác minh tài khoản, khác biệt render.","Những ca kiểm thử nào đảm bảo Đăng ký - Đa trình duyệt hoạt động ổn định và đúng kỳ vọng, bao phủ chống tạo tài khoản trùng lặp, email/OTP xác minh tài khoản?"
Tạo test case cho Đăng ký - Tích hợp,"Soạn kịch bản kiểm thử cho Đăng ký - Tích hợp: chống tạo tài khoản trùng lặp, email/OTP xác minh tài khoản, retry có kiểm soát.","Những ca kiểm thử nào đảm bảo Đăng ký - Tích hợp hoạt động ổn định và đúng kỳ vọng, bao phủ chống tạo tài khoản trùng lặp, email/OTP xác minh tài khoản?"
Tạo test case cho Đăng ký - Trải nghiệm người dùng,"Lập kịch bản kiểm thử cho Đăng ký - Trải nghiệm người dùng: email/OTP xác minh tài khoản, xác thực dữ liệu đầu vào, trạng thái rỗng.","Những ca kiểm thử nào đảm bảo Đăng ký - Trải nghiệm người dùng hoạt động ổn định và đúng kỳ vọng, bao phủ email/OTP xác minh tài khoản, xác thực dữ liệu đầu vào?"
Tạo test case cho API - Chức năng,"Đề xuất kịch bản kiểm thử cho API - Chức năng: xác thực và ủy quyền, CORS và rò rỉ dữ liệu, kịch bản chính.","Những ca kiểm thử nào đảm bảo API - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ xác thực và ủy quyền, CORS và rò rỉ dữ liệu?"
Tạo test case cho API - Hiệu năng,"Soạn kịch bản kiểm thử cho API - Hiệu năng: CORS và rò rỉ dữ liệu, giới hạn tốc độ và idempotency, độ ổn định dưới áp lực.","Những ca kiểm thử nào đảm bảo API - Hiệu năng hoạt động ổn định và đúng kỳ vọng, bao phủ CORS và rò rỉ dữ liệu, giới hạn tốc độ và idempotency?"
Tạo test case cho API - Bảo mật,"Thiết kế kịch bản kiểm thử cho API - Bảo mật: mã lỗi nhất quán, xác thực và ủy quyền, bảo vệ dữ liệu nhạy cảm.","Những ca kiểm thử nào đảm bảo API - Bảo mật hoạt động ổn định và đúng kỳ vọng, bao phủ mã lỗi nhất quán, xác thực và ủy quyền?"
Tạo test case cho Tìm kiếm - Đầu vào,"Viết kịch bản kiểm thử cho Tìm kiếm - Đầu vào: hiệu năng truy vấn, khả năng xử lý ký tự đặc biệt.","Những ca kiểm thử nào đảm bảo Tìm kiếm - Đầu vào hoạt động ổn định và đúng kỳ vọng, bao phủ hiệu năng truy vấn, khả năng xử lý ký tự đặc biệt?"
Tạo test case cho Tìm kiếm - Hiển thị,"Đề xuất kịch bản kiểm thử cho Tìm kiếm - Hiển thị: sắp xếp và phân trang kết quả, gợi ý từ khóa và trạng thái rỗng.","Những ca kiểm thử nào đảm bảo Tìm kiếm - Hiển thị hoạt động ổn định và đúng kỳ vọng, bao phủ sắp xếp và phân trang kết quả, gợi ý từ khóa và trạng thái rỗng?"
Tạo test case cho Tìm kiếm - Hiệu năng,"Lập kịch bản kiểm thử cho Tìm kiếm - Hiệu năng: khả năng xử lý ký tự đặc biệt, sắp xếp và phân trang kết quả, thời gian phản hồi.","Những ca kiểm thử nào đảm bảo Tìm kiếm - Hiệu năng hoạt động ổn định và đúng kỳ vọng, bao phủ khả năng xử lý ký tự đặc biệt, sắp xếp và phân trang kết quả?"
Tạo test case cho Tìm kiếm - Trải nghiệm người dùng,"Soạn kịch bản kiểm thử cho Tìm kiếm - Trải nghiệm người dùng: hiệu năng truy vấn, khả năng xử lý ký tự đặc biệt, trạng thái rỗng.","Những ca kiểm thử nào đảm bảo Tìm kiếm - Trải nghiệm người dùng hoạt động ổn định và đúng kỳ vọng, bao phủ hiệu năng truy vấn, khả năng xử lý ký tự đặc biệt?"
Tạo test case cho Phân trang - Chức năng,"Soạn kịch bản kiểm thử cho Phân trang - Chức năng: kích thước trang và điều hướng trước sau, tải vô hạn, trạng thái lỗi.","Những ca kiểm thử nào đảm bảo Phân trang - Chức năng hoạt động ổn định và đúng kỳ vọng, bao phủ kích thước trang và điều hướng trước sau, tải vô hạn?"
Tạo test case cho Phân trang - Hiệu năng,"Viết kịch bản kiểm thử cho Phân trang - Hiệu năng: tải vô hạn, giữ bộ lọc khi đổi trang, độ ổn định dưới áp lực.","Những ca kiểm thử nào đảm bảo Phân trang - Hiệu năng hoạt động ổn định và đúng kỳ vọng, bao phủ tải vô hạn, giữ bộ lọc khi đổi trang?"
Tạo test case cho Phân trang - Trải nghiệm người dùng,"Soạn kịch bản kiểm thử cho Phân trang - Trải nghiệm người dùng: giữ bộ lọc khi đổi trang, trạng thái đầu/cuối danh sách, thông báo rõ ràng.","Những ca kiểm thử nào đảm bảo Phân trang - Trải nghiệm người dùng hoạt động ổn định và đúng kỳ vọng, bao phủ giữ bộ lọc khi đổi trang, trạng thái đầu/cuối danh sách?"
Tạo test case cho Phân trang - Tích hợp,"Soạn kịch bản kiểm thử cho Phân trang - Tích hợp: giữ bộ lọc khi đổi trang, trạng thái đầu/cuối danh sách, retry có kiểm soát.","Những ca kiểm thử nào đảm bảo Phân trang - Tích hợp hoạt động ổn định và đúng kỳ vọng, bao phủ giữ bộ lọc khi đổi trang, trạng thái đầu/cuối danh sách?"
Tạo test case cho Lịch - Chọn ngày,"Soạn kịch bản kiểm thử cho Lịch - Chọn ngày: múi giờ và ngày nhuận, giới hạn ngày tối thiểu và tối đa.","Những ca kiểm thử nào đảm bảo Lịch - Chọn ngày hoạt động ổn định và đúng kỳ vọng, bao phủ múi giờ và ngày nhuận, giới hạn ngày tối thiểu và tối đa?"
Tạo test case cho Lịch - Trường ngày,"Lập kịch bản kiểm thử cho Lịch - Trường ngày: giới hạn ngày tối thiểu và tối đa, đồng bộ sự kiện.","Những ca kiểm thử nào đảm bảo Lịch - Trường ngày hoạt động ổn định và đúng kỳ vọng, bao phủ giới hạn ngày tối thiểu và tối đa, đồng bộ sự kiện?"
Tạo test case cho Lịch - Sự kiện,"Soạn kịch bản kiểm thử cho Lịch - Sự kiện: đồng bộ sự kiện, tương tác bàn phím và trình đọc màn hình.","Những ca kiểm thử nào đảm bảo Lịch - Sự kiện hoạt động ổn định và đúng kỳ vọng, bao phủ đồng bộ sự kiện, tương tác bàn phím và trình đọc màn hình?"
Tạo test case cho Lịch - Chế độ xem,"Thiết kế kịch bản kiểm thử cho Lịch - Chế độ xem: giới hạn ngày tối thiểu và tối đa, đồng bộ sự kiện.","Những ca kiểm thử nào đảm bảo Lịch - Chế độ xem hoạt động ổn định và đúng kỳ vọng, bao phủ giới hạn ngày tối thiểu và tối đa, đồng bộ sự kiện?"
Tạo test case cho Lịch - Hiệu năng,"Thiết kế kịch bản kiểm thử cho Lịch - Hiệu năng: tương tác bàn phím và trình đọc màn hình, múi giờ và ngày nhuận, thời gian phản hồi.","Những ca kiểm thử nào đảm bảo Lịch - Hiệu năng hoạt động ổn định và đúng kỳ vọng, bao phủ tương tác bàn phím và trình đọc màn hình, múi giờ và ngày nhuận?"
Tạo test case cho Lịch - Trải nghiệm người dùng,"Soạn kịch bản kiểm thử cho Lịch - Trải nghiệm người dùng: giới hạn ngày tối thiểu và tối đa, đồng bộ sự kiện, trạng thái rỗng.","Những ca kiểm thử nào đảm bảo Lịch - Trải nghiệm người dùng hoạt động ổn định và đúng kỳ vọng, bao phủ giới hạn ngày tối thiểu và tối đa, đồng bộ sự kiện?"
Tạo test case cho Lịch - Tích hợp,"Đề xuất kịch bản kiểm thử cho Lịch - Tích hợp: múi giờ và ngày nhuận, giới hạn ngày tối thiểu và tối đa, retry có kiểm soát.","Những ca kiểm thử nào đảm bảo Lịch - Tích hợp hoạt động ổn định và đúng kỳ vọng, bao phủ múi giờ và ngày nhuận, giới hạn ngày tối thiểu và tối đa?"
