prompt,description,inputs,steps,expected_output,platform,domain,feature,aspect,scope
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Tất cả các trường bắt buộc xác thực phải được đánh dấu bằng dấu hoa thị (*).,Không có,"1) Kiểm tra tất cả các trường bắt buộc trong tất cả các biểu mẫu
2) màn hình
3) cửa sổ bật lên,…","Đảm bảo rằng chúng được đánh dấu bằng biểu tượng hoa thị (*). Ngoài ra, nếu có bất kỳ mã hóa màu nào được thỏa thuận cho các trường đó và biểu tượng hoa thị thì nên có mặt.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Thông báo lỗi phải được hiển thị đúng ở vị trí chính xác.,Không có,1) Nhập các giá trị không hợp lệ trong một trường bất kỳ nào hoặc nhấn vào vùng không cho phép để kích hoạt thông báo lỗi,Các thông báo lỗi được kích hoạt theo thiết kế dự kiến hoặc bất kỳ tài liệu cơ sở nào được thỏa thuận.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Tất cả các thông báo lỗi phải được hiển thị theo cùng một kiểu CSS (ví dụ: sử dụng màu đỏ),Không có,1) Nhập các giá trị không hợp lệ trong một trường bất kỳ nào hoặc nhấn vào vùng không cho phép để kích hoạt thông báo lỗi,Bất kỳ thông báo lỗi nào được kích hoạt trong bất kỳ xác thực nào phải là mã màu theo cùng kiểu CSS để làm cho mã hóa màu phù hợp cho một ứng dụng.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Các thông báo xác nhận chung sẽ được hiển thị bằng cách sử dụng kiểu CSS khác với kiểu thông báo lỗi (ví dụ: sử dụng màu xanh lá cây),Không có,"1) Kích hoạt các dạng thông báo ngoài thông báo lỗi (cảnh báo
2) xác nhận
3) thông báo thành công,…)",Bất kỳ thông báo nào khác ngoài thông báo lỗi tiêu chuẩn nên được hiển thị theo kiểu CSS (màu) khác với thông báo lỗi. Ví dụ: nếu thông báo lỗi được hiển thị bằng màu đỏ thì một thông báo thành công nên có màu nào đó như màu xanh lá cây.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Tooltips văn bản nên có ý nghĩa.,Không có,"1) Dùng chuột hover để hiển thị tooltips
2) kiểm tra placeholder các trường input","Tooltips, placeholder giúp người dùng nhận được mô tả nhanh về một thành phần cụ thể nên truyền tải thông tin có ý nghĩa về thành phần, công cụ đó một cách ngắn gọn.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Nội dung mục đầu tiên của các trường thả xuống (select box),Không có,1) Bấm thử vào tất cả các select box để xem nội dung thả xuống,Tất cả các thả xuống nên có mục đầu tiên là trống hoặc một văn bản như 'Chọn' để truyền tải rằng không có gì được chọn theo mặc định trừ khi có yêu cầu khác bởi thiết kế.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],"Xóa chức năng, cho bất kỳ bản ghi nào trên một trang nên yêu cầu xác nhận.",Không có,1) Nhấp vào nút Xóa đối tượng bất kỳ,"Không được kích hoạt hành động xóa ngay. Thay vào đó, hệ thống nên yêu cầu xác nhận từ người dùng thông qua một thông báo tiêu chuẩn phù hợp. Ví dụ: khi nhấp vào nút Xóa sẽ xuất hiện xuất hiện trên màn hình với thông báo xác nhận thích hợp với nút ""OK"" và ""Hủy"".",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Chọn/Bỏ chọn tất cả tùy chọn đối tượng sẽ được cung cấp nếu trang hỗ trợ bản ghi Thêm/Xóa/Cập nhật chức năng.,Không có,1) Nhấn chọn một đối tượng bất kỳ khi thực hiện Thêm/Xóa/Cập nhật trong danh sách,Trang sẽ cung cấp cho người dùng nút tùy chọn để chọn tất cả các mục có thể chọn và nút tùy chọn khác để bỏ chọn tất cả các mục đã chọn cùng một lúc.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Giá trị số lượng phải được hiển thị với các ký hiệu tiền tệ chính xác.,"qty=2, qty_invalid=0",1) Kiểm tra các trường được cho là được cập nhật với các giá trị tiền tệ hoặc được cho là hiển thị các giá trị tiền tệ,Các trường nên chứa các ký hiệu tiền tệ. Các biểu tượng này phải liên quan đến loại tiền được hiển thị theo mặc định hoặc đơn vị tiền tệ sẽ được nhập.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Sắp xếp trang mặc định nên được cung cấp.,Không có,1) Chuyển hướng tất cả trang thuộc dự án từ trang mặc định (trang chủ),Trang nên được sắp xếp theo mặc định.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Chức năng nút đặt lại sẽ đặt các giá trị mặc định cho tất cả các trường.,"price_min=100000, price_max=500000",1) Điền giá trị vào các trường rồi bấm vào nút Đặt lại,Loại bỏ các thay đổi gần đây và đặt giá trị của tất cả các trường thành giá trị mặc định ​​của chúng.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Tất cả các giá trị số nên được định dạng chính xác.,"price_min=100000, price_max=500000",1) Nhập vào các trường đầu vào và xem các trường đầu ra mang giá trị số,Các vị trí cho các trường có giá trị thập phân phải được hiển thị chính xác phần số trước và sau dấu phẩy. Các trường số nguyên không nên hiển thị các giá trị thập phân.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Các trường đầu vào phải được kiểm tra giá trị trường tối đa.,"price_min=100000, price_max=500000",1) Nhập vào các trường đầu vào các giá trị lớn hơn giá trị tối đa,"Thông báo lỗi, các giá trị đầu vào lớn hơn giới hạn tối đa được chỉ định không được chấp nhận hoặc lưu trữ trong cơ sở dữ liệu.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra tích hợp tất cả các trường đầu vào với các ký tự đặc biệt.,Không có,1) Nhập vào các trường đầu vào các kí tự đặc biệt,Nếu các ký tự đặc biệt được chấp nhận thì nó sẽ chấp nhận và nếu các ký tự đặc biệt không được chấp nhận thì nó sẽ thông báo lỗi.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Nhãn trường (label) phải đặt đúng chuẩn theo tài liệu cơ sở.,Không có,1) Kiểm tra tất cả nhãn trường trong form rồi đối chiếu với tài liệu cơ sở đã phê duyệt,"Tất cả nhãn hiển thị đúng chuẩn, không sai chính tả, không lệch với tài liệu cơ sở.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra chức năng sắp xếp trang sau khi thêm/chỉnh sửa/xóa các hoạt động trên bất kỳ bản ghi nào.,Không có,1) Thêm/chỉnh sửa/xóa bản ghi bất kì trên nội dung đang được sắp xếp,"Việc sắp xếp trên một trang phải đúng ngay cả khi một bản ghi được thêm, xóa hoặc cập nhật.",cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
Web/app; vai trò Người dùng; ưu tiên hiệu năng - Tạo test case cho phi chức năng - trải nghiệm (tổng quát) [cả hai],Kiểm tra đường dẫn các tệp tải xuống.,Không có,1) Kiểm tra từ source code hoặc tải về thử các tệp trên trang,Các tệp có thể tải xuống đang chỉ vào các đường dẫn tệp chính xác.,cả hai,tổng quát,phi chức năng,trải nghiệm,dùng chung
